post_id,registrationNumber,body
5bd1b1ff04031a0001cf65c1,00032,
5bd1b1ff04031a0001cf65c2,00032,
5bd1b1ff04031a0001cf65c3,00032,
5bd2cccc04031a0001cf65db,00032,"The way how engineers see the world :p
"
5bd3149f04031a0001cf65e0,00009,
5bd318af04031a0001cf65e3,00117,"#Speed_Storytelling_V1.0
3 séances 
14 advyteamiens 
42 petites histoires pour apprendre à mieux se connaitre et travailler dans le fun ;) 
Merciii Marouen pour cette belle initiative :D 
.... et ça continue ... ne ratez pas les prochaines éditions ;)"
5bd3268a04031a0001cf65e7,00024,"@Wael , avec un peu d'avance Happy Birthday :D "
5bd7103e04031a0001cf6617,00053,"Collecter les bouchons, un petit geste tout simple, mais qui peut donner le sourire à d'autres
Très belle initiative @Sabrine Zouaghi !! On va s'y mettre au premier aussi :)"
5bd8866a04031a0001cf662c,00024,"ARRÊTEZ TOUT!!!!!!! :D
J'ai l’immense plaisir de vous annoncer aujourd’hui, après une étroite collaboration avec le Groupe CTN (Cabinet d'experts comptables), le Go Live de notre premier projet Accretio en France.
Une étape aussi importante qui nous rappelle le chemin parcouru ainsi que les prochains défis à relever ;-)
Je profite de cette occasion aussi pour remercier la ""Team of ze week"" :D ayant participé à cette réussite...."
5bd9692f04031a0001cf6639,nan,
5bd9692f04031a0001cf663a,nan,
5bd9692f04031a0001cf663b,nan,
5bd9692f04031a0001cf663c,nan,
5bd9692f04031a0001cf663d,nan,
5bd9692f04031a0001cf663e,nan,
5bd9692f04031a0001cf663f,nan,
5bd9692f04031a0001cf6640,nan,
5bd9692f04031a0001cf6641,00011,"On a choisi d’être une famille avant d’être une équipe et comme dans toutes les familles, les anniversaires ça se fête, wael a soufflé hier ses 29 bougies dans une ambiance familiale 
Merci à naim, ilyes, amir, asma,saber et hamza pour vos messages, cela lui a fait énormément plaisir et merci à toutes les personnes présentes.
"
5bd9766104031a0001cf6646,00086,"Hello les Advyteamiens !
Partagez avec nous votre plus grande peur ☠😈"
5bd9ff8004031a0001cf6661,00024,Match de foot hebdomadaire..on attend le reste des collègues 😉⚽️⚽️
5bdadb4904031a0001cf6666,00062,Amine Ben Hmida aime ça.
5bdb77a604031a0001cf6676,00018,"Une merveille! #Teamwork 
https://www.youtube.com/watch?v=WP_SzZvjNT0"
5bdc0cd204031a0001cf6679,00032,"HappY BIRTHDAY ""petit"" frère ❤️❤️❤️
#NAIMOS_BIRTHDAY"
5bdc6de104031a0001cf6692,00026,"Merci M6 
:D"
5bdc731104031a0001cf6693,00037,cérémonie de remise des certifications Advyteam Academy
5bdc73a804031a0001cf6694,00037,
5bdee6d104031a0001cf66a1,00048,Concentration du dimanche sur une formation produit en comité réduit 
5be00c5d04031a0001cf66a5,00086,"Quoi de mieux que les fruits pour prendre soin de son corps ! être bien dans son corps pour être bien dans sa tête !
Faites-vous plaisir, des corbeilles de fruits sont à votre disposition à la salle de détente 😋
Happy Fruitful Monday 😉
"
5be0119704031a0001cf66a8,00070,
5be0119704031a0001cf66a9,00070,
5be0119704031a0001cf66aa,00070,Happy Fruitful Monday..by Advyteam 😉
5be0415204031a0001cf66b1,00086,
5be1528104031a0001cf66ba,00086,"
Joyeuse fête à tous nos collègues marocains 🙂 
"
5be16e9b04031a0001cf66bb,00086,
5be179c804031a0001cf66bf,00096,Bon démarrage : Première conduite d'atelier pour Walid chez GAT Assurances
5be295bd04031a0001cf66d1,00086,
5be2afe104031a0001cf66d9,00053,"#QuisuisJe
Je suis une collaboratrice Advyteam Tunisie. Discrète mais très fun. Hier j’ai fini ma première séance de sport intensif, il m’en faut encore d’autres pour pouvoir rejoindre mon manager dans un marathon 😅
Super courbaturée, ne me sollicitez pour aucune activité physique pendant au moins une semaine.
Qui suis-je ?? 😁"
5be2c71a04031a0001cf66e4,00093,https://www.youtube.com/watch?v=Ksm8qWThkCo
5be3ea2104031a0001cf66e9,00086,
